country,year,uhc,norm_uhc,uhc_log16,country_c
Canada,2021.0,91.03792,1.0,16.0,Canada
South Korea,2021.0,89.08912,0.9696670520026079,15.514672832041727,South Korea
Iceland,2021.0,88.9183,0.9670082495719253,15.472131993150805,Iceland
Singapore,2021.0,88.51465,0.960725463006271,15.371607408100337,Singapore
Germany,2021.0,87.96261,0.9521329955327076,15.234127928523321,Germany
Portugal,2021.0,87.90821,0.9512862629941925,15.22058020790708,Portugal
United Kingdom,2021.0,87.80078,0.9496141218799891,15.193825950079825,United Kingdom
Norway,2021.0,87.03179,0.9376448414610059,15.002317463376095,Norway
Australia,2021.0,86.77878,0.9337067569100924,14.939308110561479,Australia
Switzerland,2021.0,86.33576,0.9268111787995604,14.828978860792967,Switzerland
Monaco,2021.0,85.90423,0.9200944418079171,14.721511068926674,Monaco
United States,2021.0,85.72882,0.9173641963192972,14.677827141108756,United States
Finland,2021.0,85.67915,0.9165910859298113,14.665457374876981,Finland
Belgium,2021.0,85.59243,0.9152412946478253,14.643860714365205,Belgium
Israel,2021.0,85.4992,0.9137901756300726,14.620642810081161,Israel
Spain,2021.0,85.25634,0.9100100751833121,14.560161202932994,Spain
Sweden,2021.0,85.24987,0.9099093700449998,14.558549920719997,Sweden
Malta,2021.0,85.23704,0.9097096719113756,14.55535475058201,Malta
Netherlands,2021.0,85.213,0.9093354908410466,14.549367853456745,Netherlands
New Zealand,2021.0,84.83291,0.9034194141762638,14.454710626820221,New Zealand
France,2021.0,84.79053,0.9027597721729135,14.444156354766616,France
Austria,2021.0,84.53304,0.8987519567070634,14.380031307313015,Austria
Slovenia,2021.0,84.35354,0.895958050628691,14.335328810059057,Slovenia
Czechia,2021.0,84.24297,0.8942370356142866,14.307792569828585,Czechia
