country,index,year,1_yr_all_hepB,1_yr_1stpolio,1_yr_1stmeasles,1_yr_1rubella,1_yr_dtap,all_vac_avg,norm,norm_vac_withpts_log16
Mauritius,4908.0,2018,93.63636364,95.625,95.0,95.0,95.54545455,94.961363638,0.9294580003467573,14.871328005548117
Mexico,4949.0,2018,74.36363636,89.33333333,88.90909091,88.90909091,83.90909091,85.084848484,0.7569470174010952,12.111152278417523
Micronesia (country),5004.0,2018,81.09090909,95.77777778,76.63636364,76.63636364,75.27272727,81.082828284,0.687044584437097,10.992713350993553
Moldova,5123.0,2018,90.0,84.33333333,88.81818182,88.81818182,88.72727273,88.13939394,0.8103001111644712,12.96480177863154
Monaco,5151.0,2018,99.0,99.0,88.63636364,88.63636364,99.0,94.85454545600001,0.9275922299524474,14.841475679239158
Mongolia,5195.0,2018,97.54545455,87.4,97.18181818,97.18181818,97.54545455,95.370909092,0.936611443411324,14.985783094581183
Montenegro,5224.0,2018,66.45454545,94.44444444,46.09090909,46.09090909,86.27272727,67.870707068,0.4562712820900332,7.300340513440531
Morocco,5249.0,2018,99.0,80.0,99.0,99.0,99.0,95.2,0.9336262107664542,14.938019372263268
Mozambique,5289.0,2018,76.72727273,73.25,76.72727273,71.5,76.72727273,74.98636363799999,0.5805589372046317,9.288942995274107
Myanmar,5330.0,2018,80.0,60.55555556,81.18181818,79.88888889,80.0,76.32525252600001,0.6039450237465397,9.663120379944635
Namibia,5367.0,2018,88.36363636,64.75,83.90909091,85.42857143,88.36363636,82.162987012,0.7059114864768462,11.29458378362954
Nauru,5419.0,2018,93.63636364,96.66666667,97.45454545,97.45454545,94.0,95.842424242,0.9448472979340934,15.117556766945494
Nepal,5447.0,2018,90.45454545,62.88888889,88.81818182,88.81818182,90.45454545,84.286868686,0.7430088745260742,11.888141992417188
Netherlands,5483.0,2018,88.0,97.66666667,93.27272727,93.27272727,94.36363636,93.31515151400001,0.9007039644119986,14.411263430591978
New Zealand,5546.0,2018,91.63636364,93.88888889,91.63636364,91.63636364,91.54545455,92.068686872,0.8789322324553734,14.062915719285975
Nicaragua,5583.0,2018,95.09090909,85.44444444,95.54545455,95.54545455,95.09090909,93.343434344,0.9011979745691954,14.419167593107126
Niue,5718.0,2018,99.0,99.0,99.0,99.0,99.0,99.0,1.0,16.0
North Korea,5750.0,2018,74.81818182,65.66666667,89.36363636,73.25,74.81818182,75.583333334,0.5909860795154525,9.45577727224724
North Macedonia,5792.0,2018,89.81818182,94.88888889,79.09090909,79.09090909,89.90909091,86.55959596,0.7827061169128654,12.523297870605846
Norway,5824.272727,2018,96.2,98.66666667,95.72727273,95.72727273,95.81818182,96.42787879,0.955073307611665,15.28117292178664
Oman,5878.0,2018,98.90909091,99.0,98.81818182,98.81818182,98.90909091,98.89090909199999,0.9980945323855556,15.969512518168889
Pakistan,5910.0,2018,77.63636364,71.55555556,77.72727273,83.0,77.63636364,77.511111114,0.6246581626888295,9.994530603021271
Palau,5966.0,2018,96.54545455,98.55555556,93.72727273,93.72727273,95.72727273,95.65656565999998,0.9416009457370105,15.065615131792168
Palestine,6000.0,2018,97.81818182,97.55555556,97.81818182,97.81818182,97.45454545,97.69292929400001,0.9771696748543723,15.634714797669957
Panama,6025.0,2018,80.45454545,93.66666667,90.90909091,90.90909091,80.45454545,87.27878787800002,0.7952680886980767,12.724289419169228
Papua New Guinea,6080.0,2018,41.45454545,34.5,47.90909091,43.33333333,41.54545455,41.748484848,0.0,0.0
Paraguay,6111.0,2018,83.72727273,86.625,81.09090909,81.09090909,83.81818182,83.270454546,0.7252553856044015,11.604086169670424
Peru,6155.0,2018,85.63636364,93.66666667,84.27272727,84.27272727,85.63636364,86.696969698,0.7851055946845067,12.561689514952107
Philippines,6207.0,2018,80.54545455,68.125,79.09090909,79.09090909,81.63636364,77.697727274,0.6279177473392015,10.046683957427224
Poland,6255.0,2018,92.36363636,99.0,93.81818182,93.81818182,95.90909091,94.98181818200001,0.9298152755026324,14.877044408042119
Portugal,6295.0,2018,98.36363636,99.0,98.27272727,98.27272727,98.54545455,98.49090909,0.9911078176944595,15.857725083111353
Qatar,6343.0,2018,96.0,96.66666667,98.0,98.0,96.0,96.933333334,0.9639019742881372,15.422431588610195
Romania,6426.0,2018,89.18181818,92.44444444,86.63636364,86.63636364,86.90909091,88.36161616199999,0.814181619302902,13.026905908846432
Russia,6462.0,2018,97.0,97.0,97.63636364,97.63636364,97.0,97.254545456,0.9695125178894235,15.512200286230776
Rwanda,6493.0,2018,96.0,92.0,95.54545455,95.44444444,96.0,94.99797979799999,0.9300975670010682,14.88156107201709
Saint Kitts and Nevis,6540.0,2018,97.09090909,96.125,95.63636364,95.63636364,97.0,96.297727274,0.9527999788507675,15.24479966161228
Saint Lucia,6580.0,2018,89.09090909,85.55555556,90.45454545,90.45454545,89.09090909,88.929292928,0.8240971082553402,13.185553732085443
Saint Vincent and the Grenadines,6623.0,2018,97.90909091,93.22222222,97.90909091,97.90909091,97.09090909,96.808080808,0.9617142151403232,15.387427442245171
Samoa,6678.0,2018,75.63636364,79.125,75.18181818,75.18181818,75.27272727,76.079545454,0.5996533107438763,9.59445297190202
San Marino,6723.0,2018,85.81818182,91.22222222,86.27272727,86.27272727,88.09090909,87.535353534,0.7997494662706843,12.79599146033095
Sao Tome and Principe,6752.0,2018,94.54545455,82.5,89.09090909,88.0,94.54545455,89.736363638,0.8381940401506319,13.41110464241011
