INEQ(GINI),ALL 8 ,CRIME MATCH INEQ?!,G.N.I. MATCH?!,HEALTHCARE MATCH?!,HOMICIDE MATCH,UNEMPLOY,TERROR,VACCINE,CRIME,G.N.I,HEALTHCARE,HOMICIDE,UNEMPLOY,TERROR,VACCINE
Antigua and Barbuda,5,FALSE,TRUE,TRUE,,,,,Armenia,Argentina,Argentina,Anguilla,Australia,Argentina,Armenia
Benin,5,FALSE,TRUE,TRUE,,,,,Brunei,Bermuda,Bolivia,Bermuda,Botswana,Bolivia,Bosnia and Herzegovina
Burkina Faso,5,FALSE,TRUE,TRUE,,,,,Cyprus,Cameroon,Cape Verde,Canada,Chad,Central African Republic,Chile
Cape Verde,5,FALSE,TRUE,TRUE,,,,,Egypt,Chad,Colombia,Colombia,Congo,Comoros,Cook Islands
Comoros,5,FALSE,TRUE,TRUE,,,,,Georgia,Cote d'Ivoire,Cuba,Denmark,Democratic Republic of Congo,Democratic Republic of Congo,Dominica
Cote d'Ivoire,5,FALSE,TRUE,TRUE,,,,,Greece,Cyprus,Democratic Republic of Congo,East Timor,Dominican Republic,Dominica,Ecuador
Dominica,5,FALSE,TRUE,TRUE,,,,,Iran,Egypt,Equatorial Guinea,Fiji,Ethiopia,Eswatini,Georgia
Eritrea,5,FALSE,FALSE,TRUE,,,,,Japan,Fiji,France,Ghana,Georgia,French Polynesia,Haiti
Gambia,5,FALSE,TRUE,TRUE,,,,,Lithuania,Grenada,Guinea,Guyana,Haiti,Guatemala,Jamaica
Grenada,5,FALSE,TRUE,TRUE,,,,,Moldova,Hong Kong,India,Iran,Iran,Hungary,Kyrgyzstan
Guinea-Bissau,5,FALSE,TRUE,TRUE,,,,,Morocco,Indonesia,Ireland,Israel,Italy,Iran,Lesotho
Laos,5,FALSE,TRUE,TRUE,,,,,Russia,Malawi,Marshall Islands,Melanesia,Mexico,Malaysia,Nicaragua
Lesotho,5,FALSE,TRUE,TRUE,,,,,Serbia,Mali,Mexico,Micronesia (country),Montenegro,Malta,North Macedonia
Liberia,5,FALSE,TRUE,TRUE,,,,,Singapore,Malta,Micronesia (country),Moldova,Morocco,Martinique,Norway
Niger,5,FALSE,TRUE,TRUE,,,,,,Portugal,Rwanda,Reunion,Saudi Arabia,Romania,Spain
Saint Kitts and Nevis,5,FALSE,TRUE,TRUE,,,,,,Solomon Islands,Sudan,South Africa,Thailand,Sri Lanka,Uruguay
Saint Vincent and the Grenadines,5,FALSE,TRUE,TRUE,,,,,,South Africa,Sweden,South Sudan,Tonga,Suriname,Vanuatu
Samoa,5,FALSE,TRUE,TRUE,,,,,,South Korea,Switzerland,Spain,Trinidad and Tobago,Sweden,Venezuela
Sao Tome and Principe,5,FALSE,TRUE,TRUE,,,,,,Sri Lanka,Tajikistan,Suriname,Turkey,Syria,Yemen
Senegal,5,FALSE,TRUE,TRUE,,,,,,Suriname,Thailand,Switzerland,Uganda,Tajikistan,Zimbabwe
Seychelles,5,FALSE,TRUE,TRUE,,,,,,Switzerland,Tonga,Tajikistan,United Kingdom,Thailand,
Solomon Islands,5,FALSE,TRUE,TRUE,,,,,,Tonga,Uganda,Turkey,Venezuela,Uganda,
Sudan,5,TRUE,TRUE,TRUE,,,,,,Uganda,Vanuatu,United Kingdom,,Vanuatu,
Togo,5,FALSE,TRUE,TRUE,,,,,,Zambia,,Yemen,,Zaire,
Tonga,5,FALSE,TRUE,TRUE,,,,,,Zimbabwe,,Zambia,,Zambia,
Central African Republic,4,FALSE,TRUE,TRUE,,,,,Estonia,China,Congo,Costa Rica,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire
Chad,4,FALSE,TRUE,TRUE,,,,,Ethiopia,Colombia,Cook Islands,Croatia,Croatia,Croatia,Croatia
Congo,4,FALSE,TRUE,TRUE,,,,,Germany,Croatia,Cyprus,Dominica,Denmark,Denmark,Dominican Republic
Democratic Republic of Congo,4,FALSE,TRUE,TRUE,,,,,Iceland,Dominican Republic,Ecuador,Estonia,Eritrea,Equatorial Guinea,Fiji
Djibouti,4,FALSE,TRUE,TRUE,,,,,Indonesia,Ecuador,El Salvador,Ethiopia,Eswatini,Estonia,Gambia
Equatorial Guinea,4,FALSE,TRUE,TRUE,,,,,Jamaica,Faeroe Islands,Finland,Germany,Gambia,French Guiana,Guyana
Gabon,4,FALSE,TRUE,TRUE,,,,,Libya,Greece,Guatemala,Guinea-Bissau,Guyana,Guadeloupe,Italy
Guinea,4,FALSE,TRUE,TRUE,,,,,Montenegro,India,Iraq,Isle of Man,Israel,Indonesia,Lebanon
Hong Kong,4,FALSE,TRUE,FALSE,,,,,Nepal,Israel,Japan,Jordan,Kazakhstan,Italy,Malawi
