country,year,safe,basic_notshared,limited_shared,unimproved,open_def,atleast_basicsan,country_c,norm_basicsan,basicsan_log32_n
East Timor,2019.5,0.0,0.0,14.073230333333333,16.27919316666667,13.934662166666667,14.073230333333333,Timor-Leste,0.14073229981502586,4.503433594080827
Rwanda,2019.5,0.0,0.0,13.391745166666666,12.9249025,2.0469711,13.391745166666666,Rwanda,0.13391744831873045,4.2853583461993745
Comoros,2018.0,0.0,0.0,13.183519333333331,50.54091366666666,0.5914689,13.183519333333331,Comoros,0.13183519003745356,4.218726081198514
Namibia,2019.5,0.0,0.0,12.730423166666666,13.398519166666667,38.750296999999996,12.730423166666666,Namibia,0.12730422848406095,4.07373531148995
Burundi,2019.5,0.0,0.0,12.400660833333333,40.356751833333334,1.49591385,12.400660833333333,Burundi,0.12400660523316821,3.968211367461383
Jamaica,2019.5,0.0,0.0,12.397923666666665,0.2773610083333333,0.7984077633333334,12.397923666666665,Jamaica,0.12397923356718582,3.9673354741499463
El Salvador,2019.5,0.0,0.0,11.712821750000002,0.6526488083333334,0.7012959200000001,11.712821750000002,El Salvador,0.11712821457179466,3.748102866297429
Cook Islands,2019.5,0.0,0.0,11.379066333333334,2.7318215833333332,0.48289576000000006,11.379066333333334,Cook Islands,0.11379066048856684,3.641301135634139
Afghanistan,2019.5,0.0,0.0,11.1844205,26.394162500000004,10.652288416666666,11.1844205,Afghanistan,0.11184420220389495,3.5790144705246383
Guatemala,2019.5,0.0,0.0,10.670023833333332,18.4017455,2.416014666666667,10.670023833333332,Guatemala,0.10670023566582743,3.4144075413064776
Cayman Islands,2019.5,0.0,0.0,10.598292666666667,6.0824387,0.0,10.598292666666667,Cayman Islands,0.10598292401709358,3.3914535685469946
Montserrat,2019.5,0.0,0.0,10.511483333333333,0.1817516993333379,0.5255691516666666,10.511483333333333,Montserrat,0.10511483070546257,3.3636745825748022
Saint Lucia,2019.5,0.0,0.0,10.376733333333332,0.06017272666666667,6.213972666666667,10.376733333333332,St. Lucia,0.10376733073915007,3.320554583652802
Pakistan,2019.5,0.0,0.0,10.128144,13.601475333333333,10.030028583333333,10.128144,Pakistan,0.10128143746796407,3.2410059989748503
Mauritania,2019.5,0.0,0.0,10.053337166666667,9.40505075,29.8661915,10.053337166666667,Mauritania,0.10053336915333246,3.2170678129066386
Equatorial Guinea,2017.0,0.0,0.0,9.879503,20.953632,2.8540714,9.879503,Equatorial Guinea,0.09879502753012431,3.161440880963978
Iran,2019.5,0.0,0.0,9.709035333333334,0.2935762733333333,0.0,9.709035333333334,Iran,0.09709035090607458,3.1068912289943866
Belize,2019.5,0.0,0.0,9.044347916666666,2.1940227,0.6052080999999999,9.044347916666666,Belize,0.09044347690557974,2.894191260978552
Guam,2019.5,0.0,0.0,8.806191333333333,0.9766666716666667,0.0,8.806191333333333,Guam,0.08806191113178555,2.8179811562171375
