index,country,year,internet,norm_internet,norm_internet_log8
194,Mozambique,2019.5,0.221074667,0.0038990352770741973,0.031192282216593578
195,Comoros,2020.0,0.212005429,0.003738527689013417,0.029908221512107334
196,Rwanda,2020.0,0.211119514,0.0037228487444453217,0.029782789955562574
197,Papua New Guinea,2019.8,0.208511,0.0036766832021403587,0.02941346561712287
198,Benin,2020.0,0.194756571,0.0034332569932413034,0.027466055945930427
199,Gambia,2019.5,0.194616167,0.003430772119937275,0.0274461769594982
200,Solomon Islands,2019.5,0.149315667,0.002629042802331169,0.02103234241864935
201,Guinea-Bissau,2020.0,0.139838129,0.0024613091112388867,0.019690472889911093
202,Kiribati,2020.0,0.126062614,0.002217509721814428,0.017740077774515424
203,Eritrea,2019.8,0.1181771,0.002077951709028843,0.016623613672230746
204,Madagascar,2020.0,0.104111557,0.0018290193972188337,0.01463215517775067
205,Equatorial Guinea,2019.5,0.097875817,0.001718659123602227,0.013749272988817816
206,Uganda,2021.0,0.08267292,0.001449597893870857,0.011596783150966856
207,Sudan,2019.5,0.06659725,0.001165090306997402,0.009320722455979216
208,Malawi,2020.0,0.066105329,0.0011563842775353407,0.009251074220282726
209,Burkina Faso,2019.5,0.065519183,0.0011460106518005795,0.009168085214404636
210,Tajikistan,2019.8,0.06240414,0.0010908805473049629,0.008727044378439703
211,Afghanistan,2020.0,0.059344957,0.0010367390544070434,0.008293912435256347
212,Niger,2019.8,0.0484031,0.0008430898111105326,0.006744718488884261
213,East Timor,2020.0,0.044547683,0.0007748565500980277,0.006198852400784221
214,Nigeria,2020.0,0.040940029,0.0007110082045040731,0.005688065636032585
215,Burundi,2020.0,0.0304812,0.0005259076021458441,0.004207260817166753
216,Democratic Republic of Congo,2019.5,0.019145073,0.00032528055908878834,0.0026022444727103067
217,Central African Republic,2019.4,0.01226261,0.00020347456656245267,0.0016277965324996214
218,Guinea,2019.5,0.0082141,0.00013182394108102318,0.0010545915286481855
219,Sierra Leone,2020.0,0.0022575,2.6403893769127506e-05,0.00021123115015302005
220,South Sudan,2020.0,0.001873487,1.9607622636537943e-05,0.00015686098109230355
221,Chad,2019.5,0.000765588,0.0,0.0
